codice;geo_point
197;"{""type"":""Point"",""coordinates"":[11.264036428,44.492527588]}"
198;"{""type"":""Point"",""coordinates"":[11.264036428,44.494775889]}"
199;"{""type"":""Point"",""coordinates"":[11.264036428,44.49702419]}"
200;"{""type"":""Point"",""coordinates"":[11.264036428,44.49927249]}"
201;"{""type"":""Point"",""coordinates"":[11.264036428,44.501520791]}"
202;"{""type"":""Point"",""coordinates"":[11.264036428,44.503769092]}"
203;"{""type"":""Point"",""coordinates"":[11.264036428,44.506017393]}"
204;"{""type"":""Point"",""coordinates"":[11.264036428,44.508265694]}"
205;"{""type"":""Point"",""coordinates"":[11.264036428,44.510513995]}"
206;"{""type"":""Point"",""coordinates"":[11.264036428,44.512762296]}"
207;"{""type"":""Point"",""coordinates"":[11.264036428,44.515010597]}"
208;"{""type"":""Point"",""coordinates"":[11.264036428,44.517258898]}"
209;"{""type"":""Point"",""coordinates"":[11.264036428,44.519507199]}"
210;"{""type"":""Point"",""coordinates"":[11.264036428,44.5217555]}"
211;"{""type"":""Point"",""coordinates"":[11.264036428,44.5240038]}"
212;"{""type"":""Point"",""coordinates"":[11.264036428,44.526252101]}"
213;"{""type"":""Point"",""coordinates"":[11.264036428,44.528500402]}"
214;"{""type"":""Point"",""coordinates"":[11.264036428,44.530748703]}"
215;"{""type"":""Point"",""coordinates"":[11.264036428,44.532997004]}"
216;"{""type"":""Point"",""coordinates"":[11.264036428,44.535245305]}"
217;"{""type"":""Point"",""coordinates"":[11.264036428,44.537493606]}"
218;"{""type"":""Point"",""coordinates"":[11.267184193,44.490279287]}"
219;"{""type"":""Point"",""coordinates"":[11.267184193,44.492527588]}"
220;"{""type"":""Point"",""coordinates"":[11.267184193,44.494775889]}"
221;"{""type"":""Point"",""coordinates"":[11.267184193,44.49702419]}"
222;"{""type"":""Point"",""coordinates"":[11.267184193,44.49927249]}"
223;"{""type"":""Point"",""coordinates"":[11.267184193,44.501520791]}"
224;"{""type"":""Point"",""coordinates"":[11.267184193,44.503769092]}"
225;"{""type"":""Point"",""coordinates"":[11.267184193,44.506017393]}"
226;"{""type"":""Point"",""coordinates"":[11.267184193,44.508265694]}"
227;"{""type"":""Point"",""coordinates"":[11.267184193,44.510513995]}"
228;"{""type"":""Point"",""coordinates"":[11.267184193,44.512762296]}"
229;"{""type"":""Point"",""coordinates"":[11.267184193,44.515010597]}"
230;"{""type"":""Point"",""coordinates"":[11.267184193,44.517258898]}"
231;"{""type"":""Point"",""coordinates"":[11.267184193,44.519507199]}"
232;"{""type"":""Point"",""coordinates"":[11.267184193,44.5217555]}"
233;"{""type"":""Point"",""coordinates"":[11.267184193,44.5240038]}"
234;"{""type"":""Point"",""coordinates"":[11.267184193,44.526252101]}"
235;"{""type"":""Point"",""coordinates"":[11.267184193,44.528500402]}"
236;"{""type"":""Point"",""coordinates"":[11.267184193,44.530748703]}"
237;"{""type"":""Point"",""coordinates"":[11.267184193,44.532997004]}"
238;"{""type"":""Point"",""coordinates"":[11.270331958,44.492527588]}"
239;"{""type"":""Point"",""coordinates"":[11.270331958,44.494775889]}"
240;"{""type"":""Point"",""coordinates"":[11.270331958,44.49702419]}"
241;"{""type"":""Point"",""coordinates"":[11.270331958,44.49927249]}"
242;"{""type"":""Point"",""coordinates"":[11.270331958,44.501520791]}"
243;"{""type"":""Point"",""coordinates"":[11.270331958,44.503769092]}"
244;"{""type"":""Point"",""coordinates"":[11.270331958,44.506017393]}"
245;"{""type"":""Point"",""coordinates"":[11.270331958,44.508265694]}"
246;"{""type"":""Point"",""coordinates"":[11.270331958,44.510513995]}"
247;"{""type"":""Point"",""coordinates"":[11.270331958,44.512762296]}"
248;"{""type"":""Point"",""coordinates"":[11.270331958,44.515010597]}"
249;"{""type"":""Point"",""coordinates"":[11.270331958,44.517258898]}"
250;"{""type"":""Point"",""coordinates"":[11.270331958,44.519507199]}"
251;"{""type"":""Point"",""coordinates"":[11.270331958,44.5217555]}"
252;"{""type"":""Point"",""coordinates"":[11.270331958,44.5240038]}"
253;"{""type"":""Point"",""coordinates"":[11.270331958,44.526252101]}"
254;"{""type"":""Point"",""coordinates"":[11.270331958,44.528500402]}"
255;"{""type"":""Point"",""coordinates"":[11.270331958,44.530748703]}"
256;"{""type"":""Point"",""coordinates"":[11.270331958,44.532997004]}"
257;"{""type"":""Point"",""coordinates"":[11.270331958,44.535245305]}"
258;"{""type"":""Point"",""coordinates"":[11.273479723,44.490279287]}"
259;"{""type"":""Point"",""coordinates"":[11.273479723,44.492527588]}"
260;"{""type"":""Point"",""coordinates"":[11.273479723,44.494775889]}"
261;"{""type"":""Point"",""coordinates"":[11.273479723,44.49702419]}"
262;"{""type"":""Point"",""coordinates"":[11.273479723,44.49927249]}"
263;"{""type"":""Point"",""coordinates"":[11.273479723,44.501520791]}"
264;"{""type"":""Point"",""coordinates"":[11.273479723,44.503769092]}"
265;"{""type"":""Point"",""coordinates"":[11.273479723,44.506017393]}"
266;"{""type"":""Point"",""coordinates"":[11.273479723,44.508265694]}"
267;"{""type"":""Point"",""coordinates"":[11.273479723,44.510513995]}"
268;"{""type"":""Point"",""coordinates"":[11.273479723,44.512762296]}"
269;"{""type"":""Point"",""coordinates"":[11.273479723,44.515010597]}"
270;"{""type"":""Point"",""coordinates"":[11.273479723,44.517258898]}"
271;"{""type"":""Point"",""coordinates"":[11.273479723,44.519507199]}"
272;"{""type"":""Point"",""coordinates"":[11.273479723,44.5217555]}"
273;"{""type"":""Point"",""coordinates"":[11.273479723,44.5240038]}"
274;"{""type"":""Point"",""coordinates"":[11.273479723,44.526252101]}"
275;"{""type"":""Point"",""coordinates"":[11.273479723,44.528500402]}"
276;"{""type"":""Point"",""coordinates"":[11.273479723,44.530748703]}"
277;"{""type"":""Point"",""coordinates"":[11.273479723,44.532997004]}"
278;"{""type"":""Point"",""coordinates"":[11.273479723,44.535245305]}"
279;"{""type"":""Point"",""coordinates"":[11.273479723,44.537493606]}"
280;"{""type"":""Point"",""coordinates"":[11.276627488,44.492527588]}"
281;"{""type"":""Point"",""coordinates"":[11.276627488,44.494775889]}"
282;"{""type"":""Point"",""coordinates"":[11.276627488,44.49702419]}"
283;"{""type"":""Point"",""coordinates"":[11.276627488,44.49927249]}"
284;"{""type"":""Point"",""coordinates"":[11.276627488,44.501520791]}"
285;"{""type"":""Point"",""coordinates"":[11.276627488,44.503769092]}"
286;"{""type"":""Point"",""coordinates"":[11.276627488,44.506017393]}"
287;"{""type"":""Point"",""coordinates"":[11.276627488,44.508265694]}"
288;"{""type"":""Point"",""coordinates"":[11.276627488,44.510513995]}"
