codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
500034;SAN LUCA 15;1;VIA SAN LUCA FR 15;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.485682, 11.302278
500036;CASAGLIA 56;1;VIA CASAGLIA 56;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.467216, 11.301451
665002;ROVERI;1;;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.496831, 11.411518
665003;ROVERI;1;;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.49684, 11.411958
665008;BOLOGNA - TANGENZIALE SAN;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493847, 11.390315
665009;BOLOGNA - TANGENZIALE SAN;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493491, 11.390112
665010;GIAMBOLOGNA;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493226, 11.386013
665011;GIAMBOLOGNA;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493215, 11.385673
665012;RIMESSE STAZIONE;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493396, 11.373518
665013;RIMESSE STAZIONE;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493278, 11.373551
665018;ZANOLINI;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.497488, 11.359383
665019;ZANOLINI;1;;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.497218, 11.35941
900002;SANT`ISAIA PIAZZA MALPIGH;1;VIA SANT`ISAIA 1;Porto - Saragozza;MALPIGHI;44.49342, 11.335284
943001;OPIFICIO GOLINELLI;1;VIA PAOLO NANNI COSTA 14;Borgo Panigale - Reno;SANTA VIOLA;44.508819, 11.3067
951002;ROVERI STAZIONE;1;VIA STAZIONE ROVERI;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.497562, 11.410567
