codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
3333;FIERA ALDO MORO;3;PIAZZALE A.MORO 16-22 (PENSILINA B);San Donato - San Vitale;SAN DONATO VECCHIO;44.509066, 11.363297
3334;FIERA ALDO MORO;4;PIAZZALE A.MORO 20 (PENSILINA A);San Donato - San Vitale;SAN DONATO VECCHIO;44.509124, 11.363086
3336;SERENA;4;VIA SERENA FR 10;San Donato - San Vitale;SAN DONATO VECCHIO;44.50858, 11.361101
3337;MONDO;2;VIA ANDREINI P.L. 29;San Donato - San Vitale;SAN DONATO VECCHIO;44.499553, 11.373139
3338;FIERA PALAZZO CONGRESSI;1;PIAZZA COSTITUZIONE (PENSILINA D);San Donato - San Vitale;SAN DONATO VECCHIO;44.511961, 11.361288
3339;SERENA;6;VIA CADUTI DI VIA FANI 3/C;San Donato - San Vitale;SAN DONATO VECCHIO;44.508172, 11.360821
3340;FIERA PALAZZO CONGRESSI;1;PIAZZA COSTITUZIONE (PENSILINA C);San Donato - San Vitale;SAN DONATO VECCHIO;44.511921, 11.361475
3341;NOVELLI;3;VIA NOVELLI FR 1;San Donato - San Vitale;SAN DONATO VECCHIO;44.505804, 11.362549
3342;FIERA PALAZZO CONGRESSI;1;PIAZZA COSTITUZIONE (PENSILINA B);San Donato - San Vitale;SAN DONATO VECCHIO;44.511756, 11.361607
3343;NOVELLI;2;VIA ZACCONI 14;San Donato - San Vitale;SAN DONATO VECCHIO;44.505473, 11.363303
3345;FIERA PALAZZO CONGRESSI;4;PIAZZA COSTITUZIONE (PENSILINA A);San Donato - San Vitale;SAN DONATO VECCHIO;44.511524, 11.361535
3347;ZACCONI;2;VIA ZACCONI 4/B;San Donato - San Vitale;SAN DONATO VECCHIO;44.504315, 11.364476
3349;PARCO NORD;1;RACCORDO TRA VIA FERRARESE E VIA STALING;Navile;CORTICELLA - DOZZA;44.526972, 11.365872
3351;ALDO MORO;2;VIALE A.MORO FR INGRESSO CIV30;San Donato - San Vitale;SAN DONATO VECCHIO;44.507108, 11.364363
3352;ALDO MORO;1;VIALE A.MORO FR P.L. 51;San Donato - San Vitale;SAN DONATO VECCHIO;44.507372, 11.364235
3353;VIALE FIERA;1;VIALE FIERA FR P.L. 30;San Donato - San Vitale;SAN DONATO VECCHIO;44.508571, 11.369366
3354;VIALE FIERA;1;VIALE FIERA FR P.L. 26;San Donato - San Vitale;SAN DONATO VECCHIO;44.507523, 11.367789
3355;FERRAVILLA;1;VIA FERRAVILLA P.L. 6;San Donato - San Vitale;SAN DONATO VECCHIO;44.506685, 11.370875
3356;FERRAVILLA;1;VIA FERRAVILLA 17;San Donato - San Vitale;SAN DONATO VECCHIO;44.507159, 11.370592
3357;FIERA VIALE EUROPA;1;VIALE EUROPA CIV 5;San Donato - San Vitale;SAN DONATO VECCHIO;44.511525, 11.371889
3358;FIERA VIALE EUROPA;1;VIALE EUROPA FR CIV 5;San Donato - San Vitale;SAN DONATO VECCHIO;44.511474, 11.371749
3362;CAMPING CITTA` DI BOLOGNA;1;VIA ROMITA 2 MT PRIMA CIV.12/4;Navile;CORTICELLA - DOZZA;44.524173, 11.374101
3370;CARCERE;1;VIA DEL GOMITO 60M PRIMA INTERSEZIONE RO;Navile;CORTICELLA - DOZZA;44.533874, 11.368656
3371;CARCERE;1;VIA DEL GOMITO FR 10;Navile;CORTICELLA - DOZZA;44.533308, 11.369426
3372;GOMITO;1;VIA DEL GOMITO FR 14;Navile;CORTICELLA - DOZZA;44.533005, 11.370622
3500;FERMATA SERVIZIO FERRARES;2;INTERNO DEPOSITO FERRARESE;Navile;CORTICELLA - DOZZA;44.522612, 11.353816
3501;VIRGOLONE;2;VIA SAN DONATO P.L. 111;San Donato - San Vitale;SAN DONATO NUOVO;44.51468, 11.389808
3502;VIRGOLONE;3;VIA SAN DONATO FR P.L. 111;San Donato - San Vitale;SAN DONATO NUOVO;44.514972, 11.390059
3503;MENARINI;2;VIA SAN DONATO 195;San Donato - San Vitale;SAN DONATO NUOVO;44.51872, 11.397649
3504;MENARINI;4;VIA SAN DONATO 190;San Donato - San Vitale;SAN DONATO NUOVO;44.518238, 11.396597
3505;SAN SISTO;2;VIA SAN DONATO 205/3;San Donato - San Vitale;SAN DONATO NUOVO;44.519982, 11.400582
3506;SAN SISTO;4;VIA SAN DONATO 192/A;San Donato - San Vitale;SAN DONATO NUOVO;44.520127, 11.40094
3507;SAN DONATO 240-246;2;VIA SAN DONATO FR 246;San Donato - San Vitale;SAN DONATO NUOVO;44.522994, 11.407602
3508;SAN DONATO 240-246;2;VIA SAN DONATO 240;San Donato - San Vitale;SAN DONATO NUOVO;44.522993, 11.407237
3509;PICCOLO COW BOY;2;VIA SAN DONATO 213;San Donato - San Vitale;SAN DONATO NUOVO;44.524414, 11.411146
3510;PICCOLO COW BOY;2;VIA SAN DONATO 206;San Donato - San Vitale;SAN DONATO NUOVO;44.524648, 11.411533
3511;FRULLO (BIVIO);2;VIA SAN DONATO 217;San Donato - San Vitale;SAN DONATO NUOVO;44.52755, 11.417807
3543;ROTONDA BARONI;2;VIALE GIUSEPPE FANIN FR PL 7;San Donato - San Vitale;SAN DONATO NUOVO;44.515234, 11.401192
3544;ROTONDA BARONI;2;VIALE GIUSEPPE FANIN FR PL 8;San Donato - San Vitale;SAN DONATO NUOVO;44.515333, 11.401624
3545;CARNACINI;3;VIA TITO CARNACINI;San Donato - San Vitale;SAN DONATO NUOVO;44.515747, 11.398634
3547;FACOLTA` DI AGRARIA;3;VIALE GIUSEPPE FANIN FR PL 44;San Donato - San Vitale;SAN DONATO NUOVO;44.513061, 11.407746
3548;FACOLTA` DI AGRARIA;3;VIALE GIUSEPPE FANIN FR PL 32;San Donato - San Vitale;SAN DONATO NUOVO;44.513562, 11.406609
3551;FICO;1;INTERNO FICO INGR. PEDONALE PRINCIPALE;San Donato - San Vitale;SAN DONATO NUOVO;44.516454, 11.408628
3553;COMMERCIO ASSOCIATO;2;VIA DEL COMMERCIO ASSOCIATO FR PL 16;San Donato - San Vitale;SAN DONATO NUOVO;44.517652, 11.401782
3554;FIORINI;1;VIA S.CATERINA DI QUARTO 30M PRIMA V.FIO;San Donato - San Vitale;SAN DONATO NUOVO;44.513687, 11.421549
3601;CADRIANO BIVIO;1;VIA CADRIANO FR PL 3;San Donato - San Vitale;SAN DONATO NUOVO;44.512171, 11.384107
3602;CADRIANO BIVIO;1;VIA CADRIANO PL 13676;San Donato - San Vitale;SAN DONATO NUOVO;44.511865, 11.384082
3605;FABBRERIA;1;VIA CADRIANO FR 28;San Donato - San Vitale;SAN DONATO NUOVO;44.523366, 11.380423
3606;FABBRERIA;1;VIA CADRIANO 28;San Donato - San Vitale;SAN DONATO NUOVO;44.523305, 11.38032
3609;BALDA;1;VIA CADRIANO 25;San Donato - San Vitale;SAN DONATO NUOVO;44.526524, 11.381383
3610;BALDA;1;VIA CADRIANO FR 25;Navile;CORTICELLA - DOZZA;44.526654, 11.381162
3611;CENTRO LATTE GRANAROLO;1;VIA CADRIANO FR PL 106;San Donato - San Vitale;SAN DONATO NUOVO;44.532979, 11.388681
3612;CENTRO LATTE GRANAROLO;1;VIA CADRIANO FR 27;Navile;CORTICELLA - DOZZA;44.532298, 11.387684
3614;FRABAZZA;1;VIA CADRIANO 50/2;Navile;CORTICELLA - DOZZA;44.53957, 11.393357
3615;CADRIANO EUROPA;1;VIA CADRIANO P.L. 13703;San Donato - San Vitale;SAN DONATO NUOVO;44.51746, 11.382171
3616;CADRIANO EUROPA;1;VIA CADRIANO 6/7;San Donato - San Vitale;SAN DONATO NUOVO;44.517375, 11.381928
3703;CASE SANT`ANNA;4;VIA FERRARESE FR P.L. 200;Navile;CORTICELLA - DOZZA;44.546405, 11.378606
3704;CASE SANT`ANNA;4;VIA FERRARESE P.L. 200;Navile;CORTICELLA - DOZZA;44.546444, 11.378494
3999;PIAZZA DELL`UNITA`;9;VIA MATTEOTTI 35/G;Navile;BOLOGNINA;44.510084, 11.347122
4001;SACRO CUORE;12;VIA MATTEOTTI 31;Navile;BOLOGNINA;44.508572, 11.346658
4002;SACRO CUORE;11;VIA MATTEOTTI 18;Navile;BOLOGNINA;44.508548, 11.346494
4003;PIAZZA DELL`UNITA`;14;VIA MATTEOTTI 39;Navile;BOLOGNINA;44.510675, 11.347271
4004;PIAZZA DELL`UNITA`;12;VIA MATTEOTTI 36/A;Navile;BOLOGNINA;44.510607, 11.34708
4006;PIAZZA DELL`UNITA`;15;VIA MATTEOTTI 28/F;Navile;BOLOGNINA;44.509648, 11.346827
4007;PIAZZA DELL`UNITA`;8;PIAZZA DELL`UNITA` 11/E;Navile;BOLOGNINA;44.511596, 11.347547
4009;CA` DEI FIORI;4;VIA CORTICELLA 23;Navile;BOLOGNINA;44.51358, 11.347375
4010;CA` DEI FIORI;4;VIA CORTICELLA 56/2;Navile;BOLOGNINA;44.514384, 11.347269
4011;LOMBARDI;5;VIA CORTICELLA 55;Navile;BOLOGNINA;44.516265, 11.34771
4012;LOMBARDI;5;VIA CORTICELLA FR 61;Navile;BOLOGNINA;44.517202, 11.347684
4013;IPPODROMO;13;VIA CORTICELLA FR P.L. 14;Navile;BOLOGNINA;44.518768, 11.348163
4014;IPPODROMO;14;VIA CORTICELLA FR 87;Navile;BOLOGNINA;44.518556, 11.347965
4015;MATTEOTTI ALTA VELOCITA`;1;VIA MATTEOTTI CIV 21;Navile;BOLOGNINA;44.507114, 11.346172
4016;MATTEOTTI ALTA VELOCITA`;1;VIA MATTEOTTI CIV 6;Navile;BOLOGNINA;44.507126, 11.346034
4017;ISTITUTO ALDINI;13;VIA CORTICELLA 121;Navile;BOLOGNINA;44.521888, 11.348313
4018;ISTITUTO ALDINI;14;VIA CORTICELLA FR 121/A;Navile;BOLOGNINA;44.521533, 11.348097
4019;DE GIOVANNI;4;VIA CORTICELLA 127;Navile;CORTICELLA - DOZZA;44.523069, 11.348675
4020;DE GIOVANNI;3;VIA CORTICELLA 158;Navile;CORTICELLA - DOZZA;44.523983, 11.348901
4021;CASERME ROSSE;12;VIA CORTICELLA 147;Navile;CORTICELLA - DOZZA;44.525709, 11.349914
4022;CASERME ROSSE;14;VIA CORTICELLA 180;Navile;CORTICELLA - DOZZA;44.525992, 11.349724
4025;CROCE COPERTA;13;VIA CORTICELLA 183;Navile;CORTICELLA - DOZZA;44.530241, 11.352336
4026;CROCE COPERTA;15;VIA CORTICELLA 180/45;Navile;CORTICELLA - DOZZA;44.530451, 11.352206
4027;PINARDI;3;VIA CORTICELLA 201/2/A;Navile;CORTICELLA - DOZZA;44.534245, 11.3546
4028;PINARDI;4;VIA CORTICELLA FR 201/2/A;Navile;CORTICELLA - DOZZA;44.534052, 11.35439
4029;RONCAGLIO;4;VIA CORTICELLA 207/17;Navile;CORTICELLA - DOZZA;44.536615, 11.355815
4030;RONCAGLIO;4;VIA CORTICELLA FR 217;Navile;CORTICELLA - DOZZA;44.537224, 11.355978
4031;DON FIAMMELLI;7;VIA CORTICELLA FR PL16543;Navile;CORTICELLA - DOZZA;44.539166, 11.35651
4032;DON FIAMMELLI;8;VIA CORTICELLA PL 16544;Navile;CORTICELLA - DOZZA;44.539422, 11.356344
4033;LIPPARINI;4;VIA CORTICELLA 253;Navile;CORTICELLA - DOZZA;44.540654, 11.356381
4034;LIPPARINI;5;VIA CORTICELLA FR 255;Navile;CORTICELLA - DOZZA;44.540785, 11.356185
4035;COLOMBAROLA;3;VIA BENTINI 9;Navile;CORTICELLA - DOZZA;44.543144, 11.356129
4036;COLOMBAROLA;4;VIA BENTINI 6;Navile;CORTICELLA - DOZZA;44.543592, 11.355807
4038;CORTICELLA;11;VIA BENTINI 18/B;Navile;CORTICELLA - DOZZA;44.545861, 11.356226
4041;CORTICELLA;10;VIA BENTINI FR 20/C;Navile;CORTICELLA - DOZZA;44.546126, 11.356463
4042;BENTINI;8;VIA BENTINI FR 69;Navile;CORTICELLA - DOZZA;44.548808, 11.356975
4043;BENTINI;9;VIA BENTINI 73;Navile;CORTICELLA - DOZZA;44.549088, 11.357326
4048;COLOMBO;1;VIA COLOMBO 155;Navile;CORTICELLA - DOZZA;44.550947, 11.35278
4049;COLOMBO;1;VIA COLOMBO FR 155;Navile;BERTALIA - NOCE;44.551022, 11.35262
4050;VILLAGGIO RURALE;1;VIA COLOMBO P.L. 63;Navile;BERTALIA - NOCE;44.54942, 11.351309
4078;MARESCALCHI;2;VIA CORTICELLA 261/30;Navile;CORTICELLA - DOZZA;44.543974, 11.355193
4083;FONTI;1;VIA SANT`ANNA P.L. 2;Navile;CORTICELLA - DOZZA;44.548507, 11.355376
4084;FONTI;1;VIA SANT`ANNA 15 METRI DOPO CIV 1;Navile;CORTICELLA - DOZZA;44.548134, 11.356028
4085;ZANICHELLI;3;VIA SANT`ANNA 5/B;Navile;CORTICELLA - DOZZA;44.547718, 11.357409
4087;SANT`ANNA;3;VIA SANT`ANNA 15;Navile;CORTICELLA - DOZZA;44.548088, 11.360445
4088;ZANICHELLI;3;VIA SANT`ANNA FR 5/B;Navile;CORTICELLA - DOZZA;44.547789, 11.357475
4089;BYRON CENTOFIORI;1;VIA BYRON 26;Navile;CORTICELLA - DOZZA;44.546306, 11.360424
4090;SANT`ANNA;3;VIA SANT`ANNA FR 17;Navile;CORTICELLA - DOZZA;44.5482, 11.360676
4094;BYRON CENTOFIORI;2;VIA BYRON 26;Navile;CORTICELLA - DOZZA;44.546305, 11.360436
4096;CORTICELLA STAZIONE;1;VIA CORTICELLA 311;Navile;CORTICELLA - DOZZA;44.551915, 11.354292
4099;LIBERAZIONE;3;VIA LIBERAZIONE 5 metri dopo P.L. 23240;Navile;BOLOGNINA;44.510999, 11.353374
4103;CRETI;4;VIA CRETI 41;Navile;BOLOGNINA;44.510421, 11.350859
4104;CRETI;6;VIA CRETI 12/A;Navile;BOLOGNINA;44.510596, 11.35064
4105;STALINGRADO;3;VIA CRETI 73/D;Navile;BOLOGNINA;44.509846, 11.355139
4106;STALINGRADO;6;VIA CRETI 36;Navile;BOLOGNINA;44.509999, 11.355145
4107;STALINGRADO;3;VIA DELLA LIBERAZIONE FR 1/G;Navile;BOLOGNINA;44.510679, 11.355789
4109;BIGARI;1;VIA BIGARI 8;Navile;BOLOGNINA;44.508919, 11.350799
4111;DOPOLAVORO FERROVIARIO;1;VIA SEBASTIANO SERLIO FR 28;Navile;BOLOGNINA;44.507949, 11.353729
4151;TUSCOLANO;1;VIA TUSCOLANO FR 6;Navile;CORTICELLA - DOZZA;44.531092, 11.357355
4153;BRINI;1;VIA TUSCOLANO 15/2;Navile;CORTICELLA - DOZZA;44.535607, 11.359739
4155;MANARA;1;VIA MANARA FR 8;Navile;CORTICELLA - DOZZA;44.536924, 11.358282
4157;STENDHAL;1;VIA STENDHAL 35;Navile;CORTICELLA - DOZZA;44.538351, 11.358516
4159;SOLARI;2;VIA LIPPARINI 6/A;Navile;CORTICELLA - DOZZA;44.540759, 11.35743
4202;CARRACCI STAZIONE AV;7;VIA CARRACCI FR 13A;Navile;BOLOGNINA;44.507064, 11.344686
4204;CASA DELLA SALUTE UFF COM;1;VIA CARRACCI FR 69/M;Navile;BOLOGNINA;44.507855, 11.339006
4205;CASE FERROVIERI;3;VIA CARRACCI 71/14;Navile;BOLOGNINA;44.50848, 11.334892
4206;CASE FERROVIERI;3;VIA CARRACCI 2/10;Navile;BOLOGNINA;44.508317, 11.335376
4209;CARRACCI;3;VIA CARRACCI FR. 8/8;Navile;BEVERARA;44.50898, 11.3311
4210;CARRACCI;3;VIA CARRACCI FR 75;Navile;BEVERARA;44.508817, 11.331609
4301;FRANCESCHINI;6;VIA FRANCESCHINI FR 22;Navile;BOLOGNINA;44.510922, 11.350552
4302;ZUCCA;2;VIA FERRARESE 16;Navile;BOLOGNINA;44.511526, 11.349671
4303;CIGNANI;3;VIA FERRARESE 113/A;Navile;BOLOGNINA;44.512673, 11.352082
4304;CIGNANI;2;VIA FERRARESE 26;Navile;BOLOGNINA;44.513603, 11.352409
4305;CASARALTA;6;VIA FERRARESE 153/F;Navile;BOLOGNINA;44.514687, 11.353094
4306;CASARALTA;5;VIA FERRARESE 42;Navile;BOLOGNINA;44.51502, 11.353095
4308;CASONI;5;VIA FERRARESE 104;Navile;BOLOGNINA;44.518032, 11.355909
4309;PASSAROTTI;3;VIA FERRARESE FR 60;Navile;BOLOGNINA;44.516224, 11.35454
4311;CASONI;5;VIA CASONI FR P.L. 3;Navile;BOLOGNINA;44.518352, 11.356991
4313;BONVICINI;5;VIA CASONI P.L. 11;Navile;BOLOGNINA;44.517702, 11.359658
4315;CASONI;1;VIA FERRARESE FR 104;Navile;BOLOGNINA;44.518187, 11.356268
4316;PASSAROTTI;2;VIA FERRARESE 102/3;Navile;BOLOGNINA;44.516412, 11.354573
4317;MANIFATTURA;1;VIA FERRARESE FR PL 80/81;Navile;CORTICELLA - DOZZA;44.52254, 11.359048
4318;DEPOSITO FERRARESE;7;VIA FERRARESE DEPOSITO;Navile;CORTICELLA - DOZZA;44.521193, 11.358012
4319;DEPOSITO FERRARESE;1;VIA FERRARESE 30MT PRIMA FRONTE INGR.DEP;Navile;CORTICELLA - DOZZA;44.520978, 11.357966
4320;DOZZA CAPOLINEA;1;VIA FERRARESE FR 160;Navile;CORTICELLA - DOZZA;44.528882, 11.366704
4322;MANIFATTURA;2;VIA FERRARESE P.L. 85;Navile;CORTICELLA - DOZZA;44.523585, 11.359908
4399;SACRO CUORE;5;VIA TIARINI 1;Navile;BOLOGNINA;44.508296, 11.346056
4401;TIARINI;6;VIA TIARINI 29;Navile;BOLOGNINA;44.508713, 11.342865
4403;ARCA;1;VIA DALL`ARCA 25;Navile;BOLOGNINA;44.510717, 11.343033
4404;FIORAVANTI TIBALDI;1;VIA FIORAVANTI FR 43/A;Navile;BOLOGNINA;44.511504, 11.341077
4405;BOLOGNINA;2;VIA BOLOGNESE 7;Navile;BOLOGNINA;44.512158, 11.346048
4406;BOLOGNINA;2;VIA TIBALDI 28;Navile;BOLOGNINA;44.511265, 11.344376
4409;BOLOGNESE;4;VIA BOLOGNESE 35;Navile;BOLOGNINA;44.512657, 11.342381
4410;TIBALDI DALL`ARCA;3;VIA TIBALDI FR 31/A;Navile;BOLOGNINA;44.51154, 11.342374
4413;BATTIFERRO;4;VIA GOBETTI 45/C;Navile;BOLOGNINA;44.515269, 11.337466
4414;BATTIFERRO;4;VIA GOBETTI FR 39;Navile;BOLOGNINA;44.514552, 11.337751
4418;GOBETTI;3;VIA GOBETTI FR 52;Navile;BOLOGNINA;44.518513, 11.336438
4419;GOBETTI;3;VIA GOBETTI 52;Navile;BOLOGNINA;44.518421, 11.336119
4420;ROTONDA C.N.R.;3;Rotonda C.N.R. P.L. IV;Navile;BEVERARA;44.521988, 11.337747
4421;CASA DELLA SALUTE NAVILE;1;VIA INSOLERA P.L. 45239;Navile;BOLOGNINA;44.50921, 11.338808
4422;CASA DELLA SALUTE NAVILE;1;VIA INSOLERA P.L. 45240;Navile;BOLOGNINA;44.509179, 11.338543
4425;BARBIERI;1;VIA BARBIERI 105;Navile;BOLOGNINA;44.516905, 11.341104
4426;BARBIERI;2;VIA BARBIERI 74;Navile;BOLOGNINA;44.51677, 11.341099
4427;ROTONDA GOBETTI;1;VIA BARBIERI 131;Navile;BOLOGNINA;44.517044, 11.337411
4428;ROTONDA GOBETTI;2;VIA BARBIERI 102;Navile;BOLOGNINA;44.516896, 11.337568
4429;NAVILE;2;VIA GAGARIN FR P.L. 23;Navile;BEVERARA;44.517178, 11.332144
4430;NAVILE;3;VIA GAGARIN FR P.L. 24;Navile;BEVERARA;44.516898, 11.332208
4433;GAGARIN;3;VIA GAGARIN FR 5;Navile;BEVERARA;44.517295, 11.329532
4434;GAGARIN;4;VIA GAGARIN 5;Navile;BEVERARA;44.517004, 11.329671
4451;FIORAVANTI;1;VIA FIORAVANTI 61;Navile;BOLOGNINA;44.514038, 11.342185
4452;FIORAVANTI;1;VIA FIORAVANTI 46/2/A;Navile;BOLOGNINA;44.513997, 11.342007
4453;FONDO COMINI;1;VIA FIORAVANTI 101/A;Navile;BOLOGNINA;44.515833, 11.342458
4454;FONDO COMINI;1;VIA FIORAVANTI FR 101/A;Navile;BOLOGNINA;44.515784, 11.34223
4455;ARCOVEGGIO CHIESA;2;VIA FIORAVANTI 119/D;Navile;BOLOGNINA;44.517416, 11.342069
4456;PALESTRA IPPODROMO;1;VIA ARCOVEGGIO 24-26;Navile;BOLOGNINA;44.519094, 11.34279
4459;PALESTRA IPPODROMO;2;VIA ARCOVEGGIO FR 38;Navile;BOLOGNINA;44.519355, 11.343216
4460;VILLA ERBOSA;1;VIA ARCOVEGGIO 50;Navile;BOLOGNINA;44.521543, 11.343669
4461;VILLA ERBOSA;2;VIA ARCOVEGGIO FR 52;Navile;BOLOGNINA;44.521753, 11.343941
4463;ARCOVEGGIO;2;VIA ARCOVEGGIO P.L. 26;Navile;CORTICELLA - DOZZA;44.524975, 11.345316
4464;ARCOVEGGIO;1;VIA ARCOVEGGIO FR 43/5;Navile;CORTICELLA - DOZZA;44.524378, 11.345028
4467;C.S. VIRTUS;2;VIA ARCOVEGGIO 49;Navile;CORTICELLA - DOZZA;44.527681, 11.346381
4468;C.S. VIRTUS;1;VIA ARCOVEGGIO 60;Navile;CORTICELLA - DOZZA;44.528074, 11.34651
4469;COOPERAZIONE;2;VIA ARCOVEGGIO FR P.L. 57;Navile;CORTICELLA - DOZZA;44.530914, 11.347203
4470;COOPERAZIONE;1;VIA ARCOVEGGIO P.L. 56;Navile;CORTICELLA - DOZZA;44.530942, 11.347129
4471;DON BEDETTI;2;VIA ARCOVEGGIO FR P.L. 71;Navile;CORTICELLA - DOZZA;44.534162, 11.348165
4472;DON BEDETTI;1;VIA ARCOVEGGIO P.L. 70;Navile;CORTICELLA - DOZZA;44.534318, 11.34802
4475;LAPIDARI;2;VIA ARCOVEGGIO FR P.L. 82;Navile;CORTICELLA - DOZZA;44.536401, 11.35047
4476;LAPIDARI;1;VIA ARCOVEGGIO 74/7;Navile;CORTICELLA - DOZZA;44.536433, 11.350245
4477;CASA BUIA;2;VIA ARCOVEGGIO FR 114;Navile;CORTICELLA - DOZZA;44.538732, 11.35181
4478;CASA BUIA;2;VIA ARCOVEGGIO 120;Navile;CORTICELLA - DOZZA;44.539156, 11.351361
4480;ROTONDA GIARDINI;2;ROTONDA GIARDINI;Navile;CORTICELLA - DOZZA;44.541626, 11.352078
4601;ISTITUTO SERPIERI;5;VIA PEGLION FR 25;Navile;CORTICELLA - DOZZA;44.54795, 11.365349
4602;ISTITUTO SERPIERI;4;VIA PEGLION 25;Navile;CORTICELLA - DOZZA;44.548017, 11.365138
5001;PORTA LAME;2;VIA ZANARDI 3;Porto - Saragozza;SAFFI;44.503153, 11.333019
5002;PORTA LAME;3;VIA ZANARDI 4/A;Porto - Saragozza;SAFFI;44.503175, 11.332806
5003;BOVI CAMPEGGI;1;VIA ZANARDI 31;Porto - Saragozza;SAFFI;44.505624, 11.331457
5004;BOVI CAMPEGGI;2;VIA ZANARDI FR 29/A;Porto - Saragozza;SAFFI;44.505491, 11.331351
5005;SOTTOPASSO ZANARDI;5;VIA ZANARDI P.L. 17;Navile;BEVERARA;44.510751, 11.328579
5006;SOTTOPASSO ZANARDI;5;VIA ZANARDI P.L. 16;Navile;BEVERARA;44.510618, 11.328498
5009;POSTE;5;VIA ZANARDI 41;Navile;BEVERARA;44.512248, 11.327594
5010;POSTE;5;VIA ZANARDI FR. 41;Navile;BEVERARA;44.512171, 11.327402
5011;OCA;2;VIA ZANARDI 83/D;Navile;BEVERARA;44.516433, 11.325005
5012;OCA;1;VIA ZANARDI 90;Navile;BEVERARA;44.517278, 11.324636
5013;OCA;1;VIA ZANARDI 99;Navile;BEVERARA;44.517412, 11.324692
5014;OCA;2;VIA ZANARDI 70/D;Navile;BEVERARA;44.516355, 11.324851
5017;ZANARDI;4;VIA ZANARDI 139;Navile;BERTALIA - NOCE;44.518894, 11.323065
5018;ZANARDI;5;VIA ZANARDI 108;Navile;BERTALIA - NOCE;44.518862, 11.322862
5019;SELVA PESCAROLA;4;VIA ZANARDI 175/B;Navile;BERTALIA - NOCE;44.521662, 11.321514
5020;SELVA PESCAROLA;5;VIA ZANARDI 150;Navile;BERTALIA - NOCE;44.521741, 11.321202
5021;PESCAROLA;5;VIA ZANARDI 185;Navile;BERTALIA - NOCE;44.522331, 11.320509
5022;PESCAROLA;6;VIA ZANARDI 184;Navile;BERTALIA - NOCE;44.522762, 11.319683
5023;SELVA DI PESCAROLA ZANARD;1;VIA SELVA DI PESCAROLA 3;Navile;BERTALIA - NOCE;44.521891, 11.322228
5025;C.S. PESCAROLA;2;VIA ZANARDI P.L. 82;Navile;BERTALIA - NOCE;44.525044, 11.318125
5026;C.S. PESCAROLA;3;VIA ZANARDI 228;Navile;BERTALIA - NOCE;44.524856, 11.318067
5027;BORRE;3;VIA ZANARDI 311;Navile;BERTALIA - NOCE;44.526995, 11.316906
5028;BORRE;4;VIA ZANARDI 244;Navile;BERTALIA - NOCE;44.526634, 11.316955
5029;TRAGHETTO;2;VIA ZANARDI P.L. 133/99;Navile;BERTALIA - NOCE;44.529062, 11.314886
5030;TRAGHETTO;3;VIA ZANARDI 328;Navile;BERTALIA - NOCE;44.529415, 11.314346
5031;SELVA DI PESCAROLA;1;VIA SELVA DI PESCAROLA 19/C;Navile;BERTALIA - NOCE;44.524006, 11.324036
5032;NOCE;2;VIA ZANARDI 480;Navile;BERTALIA - NOCE;44.533062, 11.315196
5033;CENTRO PROVE AUTOVEICOLI;3;VIA ZANARDI 379;Navile;BERTALIA - NOCE;44.53176, 11.314603
5034;CENTRO PROVE AUTOVEICOLI;4;VIA ZANARDI FR 367;Navile;BERTALIA - NOCE;44.531817, 11.314429
5035;NOCE;3;VIA ZANARDI FR 502;Navile;BERTALIA - NOCE;44.533407, 11.315499
5037;SELVA DI PESCAROLA BENAZZ;1;VIA SELVA DI PESCAROLA 33;Navile;BERTALIA - NOCE;44.52568, 11.323158
5038;NOCE;3;VIA ZANARDI 395;Navile;BERTALIA - NOCE;44.533417, 11.315436
5039;MOLINO DI PESCAROLA;1;VIA MOLINO DI PESCAROLA 56/64;Navile;BERTALIA - NOCE;44.525959, 11.320967
5101;GRAZIA;1;VIA POLO 13;Navile;BEVERARA;44.516251, 11.328207
5102;GRAZIA;1;VIA POLO 16;Navile;BEVERARA;44.516558, 11.328143
5103;MARCO POLO;4;VIA POLO 53;Navile;BEVERARA;44.519241, 11.328993
5104;MARCO POLO;4;VIA POLO P.L. 29;Navile;BEVERARA;44.518986, 11.328706
5105;BOTTEGO;2;VIA BEVERARA P.L. 33;Navile;BEVERARA;44.52028, 11.331047
5109;BEVERARA;2;VIA BEVERARA 123;Navile;BEVERARA;44.521983, 11.331392
5110;BOTTEGO;2;VIA BEVERARA 154/A;Navile;BEVERARA;44.52002, 11.330961
5111;PELLEGRINO;2;VIA BEVERARA 163;Navile;BEVERARA;44.52488, 11.332376
5112;BEVERARA;2;VIA BEVERARA 182;Navile;BEVERARA;44.521717, 11.331193
5113;TANGENZIALE LAME;1;VIA COLOMBO 5;Navile;BEVERARA;44.528261, 11.333467
5114;PELLEGRINO;2;VIA BEVERARA 234;Navile;BEVERARA;44.525245, 11.332151
5117;FORNACE;1;VIA COLOMBO PL 39612;Navile;BEVERARA;44.530463, 11.334071
5118;TANGENZIALE LAME;1;VIA COLOMBO FR 5;Navile;BEVERARA;44.528074, 11.332919
5120;FORNACE;1;VIA COLOMBO PL 39638;Navile;BEVERARA;44.530292, 11.333612
5122;SOSTEGNO;1;VIA COLOMBO 11;Navile;BERTALIA - NOCE;44.532202, 11.336633
