civ_key;nome;servizio;gestione;istituzione_scolastica;quartiere;indirizzo;numero_civico;zona_di_prossimita;geo_point
051500002000;VISCARDI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 12;Savena;VIA LORENZO BARTOLINI;2;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.381969111,44.48209042]}"
051500004000;VISCARDI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 12;Savena;VIA LORENZO BARTOLINI;4;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.382750085,44.481848876]}"
053500009000;ALDINI VALERIANI SIRANI;SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Navile;VIA SARIO BASSANELLI;9;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.345936207,44.521701955]}"
055000020000;MARCONI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 21;Santo Stefano;VIA LAURA BASSI VERATTI;20;MURRI;"{""type"":""Point"",""coordinates"":[11.368103968,44.482907087]}"
055000022000;MARCONI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 21;Santo Stefano;VIA LAURA BASSI VERATTI;22;MURRI;"{""type"":""Point"",""coordinates"":[11.367941705,44.482679176]}"
056500010000;FARLOTTINE - SAN DOMENICO;SCUOLA PRIMARIA;PRIVATA PARITARIA;FARLOTTINE - SAN DOMENICO;Savena;VIA DELLA BATTAGLIA;10;LUNGO SAVENA;"{""type"":""Point"",""coordinates"":[11.380237385,44.467097249]}"
056800009000;DE STEFANI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Porto - Saragozza;VIA FELICE BATTAGLIA;9;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.315651075,44.485914378]}"
056800012000;GAIA;NIDO D'INFANZIA;COMUNALE IN CONCESSIONE;COMUNE DI BOLOGNA;Porto - Saragozza;VIA FELICE BATTAGLIA;12;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.316478791,44.485939617]}"
056800020000;AVOGLI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 08;Porto - Saragozza;VIA FELICE BATTAGLIA;20;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.315960885,44.484720101]}"
059500025000;MORANDI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 01;Borgo Panigale - Reno;VIA DEL BECCACCINO;25;BARCA;"{""type"":""Point"",""coordinates"":[11.291180862,44.493140201]}"
059500027000;MORANDI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA DEL BECCACCINO;27;BARCA;"{""type"":""Point"",""coordinates"":[11.291754566,44.49311266]}"
062000019000;LA FABBRICA DELLE NUVOLE;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;LA FABBRICA DELLE NUVOLE;Savena;VIA BELLARIA;19;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.384329401,44.47799724]}"
062800007000;CHIOSTRI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 10;San Donato - San Vitale;VIA ATHOS BELLETTINI;7;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.360066464,44.509220681]}"
064500028000;CREMONINI ONGARO;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 19;Santo Stefano;VIA BELLOMBRA;28;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.338648597,44.480709871]}"
064500030000;GABELLI - BACCHI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIA BELLOMBRA;30;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.338062911,44.480672813]}"
069000001000;ALPI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA FERRUCCIO BENINI;1;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.374705246,44.504154631]}"
069000003000;BENINI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 11;San Donato - San Vitale;VIA FERRUCCIO BENINI;3;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.374541111,44.503591982]}"
070000127020;BEN TI VOGLIO SCHOOL;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;BEN TI VOGLIO SCHOOL;San Donato - San Vitale;VIA GIUSEPPE BENTIVOGLI;127;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.364260596,44.499261835]}"
071500008000;SAN TOMMASO D'AQUINO;SCUOLA SECONDARIA DI PRIMO GRADO;PRIVATA PARITARIA;FARLOTTINE - SAN DOMENICO;Santo Stefano;VIA BERENGARIO DA CARPI;8;MURRI;"{""type"":""Point"",""coordinates"":[11.367788601,44.472456987]}"
075000034000;GARIBALDI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 11;San Donato - San Vitale;VIA FILIPPO BEROALDO;34;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.372290316,44.500440896]}"
075500013000;ALBERTAZZI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 02;Borgo Panigale - Reno;VIA BERRETTA ROSSA;13;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.306105662,44.504574948]}"
075500015000;ALBERTAZZI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 02;Borgo Panigale - Reno;VIA BERRETTA ROSSA;15;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.306439498,44.504437036]}"
07600000500C;EDUCARE E CRESCERE;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;EDUCARE E CRESCERE;Santo Stefano;VIA DEI BERSAGLIERI;5;GALVANI;"{""type"":""Point"",""coordinates"":[11.352837503,44.490523195]}"
